Date,Open,High,Low,Close,Adj Close,Volume
2022/1/18,55.310001,55.650002,54.68,54.759998,54.346008,35313800
2022/1/19,54.630001,54.849998,53.560001,53.619999,53.214626,30595100
2022/1/20,53.860001,54.09,51.939999,52.040001,51.646576,28582600
2022/1/21,52.080002,53.130001,51.950001,52.040001,51.646576,46372400
2022/1/24,51.48,52.130001,49.880001,51.939999,51.547329,64198400
2022/1/25,51.009998,51.619999,50.25,51,50.614437,44095400
2022/1/26,51.130001,52.720001,50.75,51.689999,51.299217,54895400
2022/1/27,49.98,50.060001,47.779999,48.049999,47.686737,89642800
2022/1/28,47.709999,48.200001,46.299999,47.73,47.369156,61945400
2022/1/31,47.68,48.869999,47.310001,48.82,48.450916,51828400